"","country","year","sex","age","suicides_no","population","gdp_for_year","gdp_per_capita","generation","continent"
"61","Albania",1994,"Male","75+",2,24600,1985673798,697,"G.I. Generation","Europe"
"62","Albania",1994,"Male","55-74",11,171400,1985673798,697,"Silent","Europe"
"63","Albania",1994,"Female","75+",2,39900,1985673798,697,"G.I. Generation","Europe"
"64","Albania",1994,"Male","25-34",6,231400,1985673798,697,"Boomers","Europe"
"65","Albania",1994,"Male","35-54",9,362800,1985673798,697,"Boomers","Europe"
"66","Albania",1994,"Male","15-24",6,242200,1985673798,697,"Generation X","Europe"
"67","Albania",1994,"Female","15-24",6,282600,1985673798,697,"Generation X","Europe"
"68","Albania",1994,"Female","25-34",4,261100,1985673798,697,"Boomers","Europe"
"69","Albania",1994,"Female","35-54",2,342500,1985673798,697,"Boomers","Europe"
"70","Albania",1994,"Female","55-74",1,174600,1985673798,697,"Silent","Europe"
"71","Albania",1994,"Male","5-14",1,371800,1985673798,697,"Millenials","Europe"
"72","Albania",1994,"Female","5-14",0,344400,1985673798,697,"Millenials","Europe"
"73","Albania",1995,"Male","25-34",13,232900,2424499009,835,"Generation X","Europe"
"74","Albania",1995,"Male","55-74",9,178000,2424499009,835,"Silent","Europe"
"75","Albania",1995,"Female","75+",2,40800,2424499009,835,"G.I. Generation","Europe"
"76","Albania",1995,"Female","15-24",13,283500,2424499009,835,"Generation X","Europe"
"77","Albania",1995,"Male","15-24",11,241200,2424499009,835,"Generation X","Europe"
"78","Albania",1995,"Male","75+",1,25100,2424499009,835,"G.I. Generation","Europe"
"79","Albania",1995,"Male","35-54",14,375900,2424499009,835,"Boomers","Europe"
"80","Albania",1995,"Female","25-34",7,264000,2424499009,835,"Generation X","Europe"
"81","Albania",1995,"Female","35-54",8,356400,2424499009,835,"Boomers","Europe"
"82","Albania",1995,"Male","5-14",6,376500,2424499009,835,"Millenials","Europe"
"83","Albania",1995,"Female","55-74",2,180400,2424499009,835,"Silent","Europe"
"84","Albania",1995,"Female","5-14",2,348700,2424499009,835,"Millenials","Europe"
"85","Albania",1996,"Male","75+",2,25400,3314898292,1127,"G.I. Generation","Europe"
"86","Albania",1996,"Male","15-24",17,243600,3314898292,1127,"Generation X","Europe"
"87","Albania",1996,"Male","25-34",14,235300,3314898292,1127,"Generation X","Europe"
"88","Albania",1996,"Female","15-24",16,287700,3314898292,1127,"Generation X","Europe"
"89","Albania",1996,"Female","75+",2,41200,3314898292,1127,"G.I. Generation","Europe"
"90","Albania",1996,"Female","25-34",10,267900,3314898292,1127,"Generation X","Europe"
"91","Albania",1996,"Male","35-54",12,379600,3314898292,1127,"Boomers","Europe"
"92","Albania",1996,"Female","35-54",9,362000,3314898292,1127,"Boomers","Europe"
"93","Albania",1996,"Male","55-74",3,179900,3314898292,1127,"Silent","Europe"
"94","Albania",1996,"Female","55-74",1,183100,3314898292,1127,"Silent","Europe"
"95","Albania",1996,"Male","5-14",2,380400,3314898292,1127,"Millenials","Europe"
"96","Albania",1996,"Female","5-14",1,354100,3314898292,1127,"Millenials","Europe"
"97","Albania",1997,"Male","25-34",36,236000,2359903108,793,"Generation X","Europe"
"98","Albania",1997,"Male","15-24",33,244400,2359903108,793,"Generation X","Europe"
"99","Albania",1997,"Male","75+",3,25400,2359903108,793,"G.I. Generation","Europe"
"100","Albania",1997,"Male","35-54",30,380800,2359903108,793,"Boomers","Europe"
"101","Albania",1997,"Female","15-24",21,294000,2359903108,793,"Generation X","Europe"
"102","Albania",1997,"Male","55-74",12,180300,2359903108,793,"Silent","Europe"
"103","Albania",1997,"Female","25-34",16,273900,2359903108,793,"Generation X","Europe"
"104","Albania",1997,"Female","75+",2,42100,2359903108,793,"G.I. Generation","Europe"
"105","Albania",1997,"Female","35-54",7,370100,2359903108,793,"Boomers","Europe"
"106","Albania",1997,"Female","5-14",6,361800,2359903108,793,"Millenials","Europe"
"107","Albania",1997,"Male","5-14",4,381500,2359903108,793,"Millenials","Europe"
"108","Albania",1997,"Female","55-74",0,187000,2359903108,793,"Silent","Europe"
"109","Albania",1998,"Male","75+",3,25800,2707123772,899,"G.I. Generation","Europe"
"110","Albania",1998,"Male","15-24",27,248800,2707123772,899,"Generation X","Europe"
"111","Albania",1998,"Female","15-24",32,295600,2707123772,899,"Generation X","Europe"
"112","Albania",1998,"Male","25-34",26,240400,2707123772,899,"Generation X","Europe"
"113","Albania",1998,"Male","35-54",29,388200,2707123772,899,"Boomers","Europe"
"114","Albania",1998,"Male","55-74",9,183800,2707123772,899,"Silent","Europe"
"115","Albania",1998,"Female","25-34",10,275300,2707123772,899,"Generation X","Europe"
"116","Albania",1998,"Female","55-74",6,188200,2707123772,899,"Silent","Europe"
"117","Albania",1998,"Female","35-54",9,372100,2707123772,899,"Boomers","Europe"
"118","Albania",1998,"Male","5-14",2,388400,2707123772,899,"Millenials","Europe"
"119","Albania",1998,"Female","5-14",1,363800,2707123772,899,"Millenials","Europe"
"120","Albania",1998,"Female","75+",0,42300,2707123772,899,"G.I. Generation","Europe"
"121","Albania",1999,"Male","75+",3,25900,3414760915,1127,"G.I. Generation","Europe"
"122","Albania",1999,"Male","15-24",24,250600,3414760915,1127,"Generation X","Europe"
"123","Albania",1999,"Female","75+",4,42400,3414760915,1127,"G.I. Generation","Europe"
"124","Albania",1999,"Male","35-54",31,391100,3414760915,1127,"Boomers","Europe"
"125","Albania",1999,"Male","25-34",19,242300,3414760915,1127,"Generation X","Europe"
"126","Albania",1999,"Male","55-74",14,185200,3414760915,1127,"Silent","Europe"
"127","Albania",1999,"Female","15-24",19,296800,3414760915,1127,"Generation X","Europe"
"128","Albania",1999,"Female","25-34",13,276500,3414760915,1127,"Generation X","Europe"
"129","Albania",1999,"Female","55-74",6,188800,3414760915,1127,"Silent","Europe"
"130","Albania",1999,"Female","35-54",5,373600,3414760915,1127,"Boomers","Europe"
"131","Albania",1999,"Female","5-14",1,365200,3414760915,1127,"Millenials","Europe"
"132","Albania",1999,"Male","5-14",0,391300,3414760915,1127,"Millenials","Europe"
"133","Albania",2000,"Male","25-34",17,232000,3632043908,1299,"Generation X","Europe"
"134","Albania",2000,"Male","55-74",10,177400,3632043908,1299,"Silent","Europe"
"135","Albania",2000,"Female","75+",2,37800,3632043908,1299,"G.I. Generation","Europe"
"136","Albania",2000,"Male","75+",1,24900,3632043908,1299,"G.I. Generation","Europe"
"137","Albania",2000,"Female","15-24",6,263900,3632043908,1299,"Generation X","Europe"
"138","Albania",2000,"Male","15-24",5,240000,3632043908,1299,"Generation X","Europe"
"139","Albania",2000,"Female","35-54",5,332200,3632043908,1299,"Boomers","Europe"
"140","Albania",2000,"Female","25-34",3,245800,3632043908,1299,"Generation X","Europe"
"141","Albania",2000,"Male","35-54",4,374700,3632043908,1299,"Boomers","Europe"
"142","Albania",2000,"Male","5-14",1,374900,3632043908,1299,"Millenials","Europe"
"143","Albania",2000,"Female","5-14",0,324700,3632043908,1299,"Millenials","Europe"
"144","Albania",2000,"Female","55-74",0,168000,3632043908,1299,"Silent","Europe"
"145","Albania",2001,"Male","25-34",22,206484,4060758804,1451,"Generation X","Europe"
"146","Albania",2001,"Male","35-54",34,378826,4060758804,1451,"Boomers","Europe"
"147","Albania",2001,"Male","55-74",11,196670,4060758804,1451,"Silent","Europe"
"148","Albania",2001,"Female","75+",2,47254,4060758804,1451,"Silent","Europe"
"149","Albania",2001,"Male","15-24",10,256039,4060758804,1451,"Millenials","Europe"
"150","Albania",2001,"Female","15-24",9,271359,4060758804,1451,"Millenials","Europe"
"151","Albania",2001,"Female","35-54",12,370191,4060758804,1451,"Boomers","Europe"
"152","Albania",2001,"Male","75+",1,31044,4060758804,1451,"Silent","Europe"
"153","Albania",2001,"Female","55-74",6,189799,4060758804,1451,"Silent","Europe"
"154","Albania",2001,"Male","5-14",6,321556,4060758804,1451,"Millenials","Europe"
"155","Albania",2001,"Female","25-34",4,222771,4060758804,1451,"Generation X","Europe"
"156","Albania",2001,"Female","5-14",2,307356,4060758804,1451,"Millenials","Europe"
"157","Albania",2002,"Male","75+",4,31007,4435078648,1573,"Silent","Europe"
"158","Albania",2002,"Male","25-34",23,206286,4435078648,1573,"Generation X","Europe"
"159","Albania",2002,"Male","35-54",35,382139,4435078648,1573,"Boomers","Europe"
"160","Albania",2002,"Male","55-74",13,198130,4435078648,1573,"Silent","Europe"
"161","Albania",2002,"Male","15-24",15,263067,4435078648,1573,"Millenials","Europe"
"162","Albania",2002,"Female","15-24",14,275970,4435078648,1573,"Millenials","Europe"
"163","Albania",2002,"Female","35-54",15,375113,4435078648,1573,"Boomers","Europe"
"164","Albania",2002,"Female","25-34",7,223685,4435078648,1573,"Generation X","Europe"
"165","Albania",2002,"Female","75+",1,47407,4435078648,1573,"Silent","Europe"
"166","Albania",2002,"Female","55-74",4,191712,4435078648,1573,"Silent","Europe"
"167","Albania",2002,"Female","5-14",1,304850,4435078648,1573,"Millenials","Europe"
"168","Albania",2002,"Male","5-14",1,319473,4435078648,1573,"Millenials","Europe"
"169","Albania",2003,"Female","75+",6,49088,5746945913,2021,"Silent","Europe"
"170","Albania",2003,"Male","55-74",16,201520,5746945913,2021,"Silent","Europe"
"171","Albania",2003,"Male","35-54",28,386196,5746945913,2021,"Boomers","Europe"
"172","Albania",2003,"Male","15-24",15,273235,5746945913,2021,"Millenials","Europe"
"173","Albania",2003,"Female","15-24",14,283709,5746945913,2021,"Millenials","Europe"
"174","Albania",2003,"Female","55-74",9,195699,5746945913,2021,"Silent","Europe"
"175","Albania",2003,"Male","25-34",9,205433,5746945913,2021,"Generation X","Europe"
"176","Albania",2003,"Female","25-34",9,222941,5746945913,2021,"Generation X","Europe"
"177","Albania",2003,"Female","35-54",13,381760,5746945913,2021,"Boomers","Europe"
"178","Albania",2003,"Male","75+",1,32667,5746945913,2021,"Silent","Europe"
"179","Albania",2003,"Male","5-14",4,313204,5746945913,2021,"Millenials","Europe"
"180","Albania",2003,"Female","5-14",0,298477,5746945913,2021,"Millenials","Europe"
"181","Albania",2004,"Male","75+",4,35526,7314865176,2544,"Silent","Europe"
"182","Albania",2004,"Male","35-54",39,391767,7314865176,2544,"Boomers","Europe"
"183","Albania",2004,"Male","25-34",16,203938,7314865176,2544,"Generation X","Europe"
"184","Albania",2004,"Female","15-24",20,292268,7314865176,2544,"Millenials","Europe"
"185","Albania",2004,"Male","15-24",19,286768,7314865176,2544,"Millenials","Europe"
"186","Albania",2004,"Female","75+",3,50970,7314865176,2544,"Silent","Europe"
"187","Albania",2004,"Female","25-34",11,222389,7314865176,2544,"Generation X","Europe"
"188","Albania",2004,"Male","55-74",10,207202,7314865176,2544,"Silent","Europe"
"189","Albania",2004,"Female","35-54",17,391436,7314865176,2544,"Boomers","Europe"
"190","Albania",2004,"Female","55-74",3,203841,7314865176,2544,"Silent","Europe"
"191","Albania",2004,"Female","5-14",3,286705,7314865176,2544,"Millenials","Europe"
"192","Albania",2004,"Male","5-14",1,302181,7314865176,2544,"Millenials","Europe"
"193","Albania",2005,"Female","15-24",0,281922,8158548717,2931,"Millenials","Europe"
"194","Albania",2005,"Female","25-34",0,190745,8158548717,2931,"Generation X","Europe"
"195","Albania",2005,"Female","35-54",0,386513,8158548717,2931,"Boomers","Europe"
"196","Albania",2005,"Female","5-14",0,276559,8158548717,2931,"Millenials","Europe"
"197","Albania",2005,"Female","55-74",0,210998,8158548717,2931,"Silent","Europe"
"198","Albania",2005,"Female","75+",0,53191,8158548717,2931,"Silent","Europe"
"199","Albania",2005,"Male","15-24",0,281675,8158548717,2931,"Millenials","Europe"
"200","Albania",2005,"Male","25-34",0,177519,8158548717,2931,"Generation X","Europe"
"201","Albania",2005,"Male","35-54",0,380242,8158548717,2931,"Boomers","Europe"
"202","Albania",2005,"Male","5-14",0,291367,8158548717,2931,"Millenials","Europe"
"203","Albania",2005,"Male","55-74",0,214118,8158548717,2931,"Silent","Europe"
"204","Albania",2005,"Male","75+",0,38471,8158548717,2931,"Silent","Europe"
"205","Albania",2006,"Female","15-24",0,283138,8992642349,3235,"Millenials","Europe"
"206","Albania",2006,"Female","25-34",0,186391,8992642349,3235,"Generation X","Europe"
"207","Albania",2006,"Female","35-54",0,388746,8992642349,3235,"Boomers","Europe"
"208","Albania",2006,"Female","5-14",0,267316,8992642349,3235,"Millenials","Europe"
"209","Albania",2006,"Female","55-74",0,215907,8992642349,3235,"Silent","Europe"
"210","Albania",2006,"Female","75+",0,56011,8992642349,3235,"Silent","Europe"
"211","Albania",2006,"Male","15-24",0,286679,8992642349,3235,"Millenials","Europe"
"212","Albania",2006,"Male","25-34",0,174092,8992642349,3235,"Generation X","Europe"
"213","Albania",2006,"Male","35-54",0,379076,8992642349,3235,"Boomers","Europe"
"214","Albania",2006,"Male","5-14",0,282678,8992642349,3235,"Millenials","Europe"
"215","Albania",2006,"Male","55-74",0,219360,8992642349,3235,"Silent","Europe"
"216","Albania",2006,"Male","75+",0,40782,8992642349,3235,"Silent","Europe"
"217","Albania",2007,"Male","75+",8,42366,10701011897,3863,"Silent","Europe"
"218","Albania",2007,"Male","35-54",29,378626,10701011897,3863,"Boomers","Europe"
"219","Albania",2007,"Male","55-74",14,224160,10701011897,3863,"Silent","Europe"
"220","Albania",2007,"Female","75+",3,57404,10701011897,3863,"Silent","Europe"
"221","Albania",2007,"Male","25-34",9,172494,10701011897,3863,"Generation X","Europe"
"222","Albania",2007,"Female","15-24",13,281080,10701011897,3863,"Millenials","Europe"
"223","Albania",2007,"Male","15-24",13,288349,10701011897,3863,"Millenials","Europe"
"224","Albania",2007,"Female","25-34",8,183629,10701011897,3863,"Generation X","Europe"
"225","Albania",2007,"Female","55-74",9,221120,10701011897,3863,"Silent","Europe"
"226","Albania",2007,"Female","35-54",14,391811,10701011897,3863,"Boomers","Europe"
"227","Albania",2007,"Male","5-14",4,272497,10701011897,3863,"Generation Z","Europe"
"228","Albania",2007,"Female","5-14",0,256808,10701011897,3863,"Generation Z","Europe"
"229","Albania",2008,"Male","25-34",21,172855,12881352688,4672,"Generation X","Europe"
"230","Albania",2008,"Male","35-54",37,377119,12881352688,4672,"Boomers","Europe"
"231","Albania",2008,"Male","55-74",21,228672,12881352688,4672,"Silent","Europe"
"232","Albania",2008,"Female","75+",5,59369,12881352688,4672,"Silent","Europe"
"233","Albania",2008,"Female","15-24",20,276073,12881352688,4672,"Millenials","Europe"
"234","Albania",2008,"Female","25-34",9,182663,12881352688,4672,"Generation X","Europe"
"235","Albania",2008,"Female","35-54",19,393832,12881352688,4672,"Boomers","Europe"
"236","Albania",2008,"Male","75+",2,44574,12881352688,4672,"Silent","Europe"
"237","Albania",2008,"Male","15-24",11,286702,12881352688,4672,"Millenials","Europe"
"238","Albania",2008,"Female","55-74",7,226448,12881352688,4672,"Silent","Europe"
"239","Albania",2008,"Male","5-14",7,262464,12881352688,4672,"Generation Z","Europe"
"240","Albania",2008,"Female","5-14",1,246288,12881352688,4672,"Generation Z","Europe"
"241","Albania",2009,"Female","15-24",0,270003,12044212904,4387,"Millenials","Europe"
"242","Albania",2009,"Female","25-34",0,182712,12044212904,4387,"Generation X","Europe"
"243","Albania",2009,"Female","35-54",0,394286,12044212904,4387,"Boomers","Europe"
"244","Albania",2009,"Female","5-14",0,236174,12044212904,4387,"Generation Z","Europe"
"245","Albania",2009,"Female","55-74",0,233302,12044212904,4387,"Silent","Europe"
"246","Albania",2009,"Female","75+",0,61582,12044212904,4387,"Silent","Europe"
"247","Albania",2009,"Male","15-24",0,283448,12044212904,4387,"Millenials","Europe"
"248","Albania",2009,"Male","25-34",0,174955,12044212904,4387,"Generation X","Europe"
"249","Albania",2009,"Male","35-54",0,374365,12044212904,4387,"Boomers","Europe"
"250","Albania",2009,"Male","5-14",0,253007,12044212904,4387,"Generation Z","Europe"
"251","Albania",2009,"Male","55-74",0,234570,12044212904,4387,"Silent","Europe"
"252","Albania",2009,"Male","75+",0,47331,12044212904,4387,"Silent","Europe"
"253","Albania",2010,"Male","55-74",20,241852,11926953259,4359,"Silent","Europe"
"254","Albania",2010,"Male","35-54",20,371611,11926953259,4359,"Generation X","Europe"
"255","Albania",2010,"Male","25-34",9,179720,11926953259,4359,"Generation X","Europe"
"256","Albania",2010,"Male","75+",2,50767,11926953259,4359,"Silent","Europe"
"257","Albania",2010,"Male","15-24",10,279508,11926953259,4359,"Millenials","Europe"
"258","Albania",2010,"Female","25-34",6,183579,11926953259,4359,"Generation X","Europe"
"259","Albania",2010,"Female","75+",2,64415,11926953259,4359,"Silent","Europe"
"260","Albania",2010,"Female","35-54",12,394593,11926953259,4359,"Generation X","Europe"
"261","Albania",2010,"Female","55-74",7,241491,11926953259,4359,"Silent","Europe"
"262","Albania",2010,"Female","15-24",6,263581,11926953259,4359,"Millenials","Europe"
"263","Albania",2010,"Female","5-14",2,223969,11926953259,4359,"Generation Z","Europe"
"264","Albania",2010,"Male","5-14",0,240939,11926953259,4359,"Generation Z","Europe"
"265","Antigua and Barbuda",1985,"Female","15-24",0,7709,240923926,3850,"Generation X","Americas"
"266","Antigua and Barbuda",1985,"Female","25-34",0,6344,240923926,3850,"Boomers","Americas"
"267","Antigua and Barbuda",1985,"Female","35-54",0,6173,240923926,3850,"Silent","Americas"
"268","Antigua and Barbuda",1985,"Female","5-14",0,7339,240923926,3850,"Generation X","Americas"
"269","Antigua and Barbuda",1985,"Female","55-74",0,3778,240923926,3850,"G.I. Generation","Americas"
"270","Antigua and Barbuda",1985,"Female","75+",0,949,240923926,3850,"G.I. Generation","Americas"
"271","Antigua and Barbuda",1985,"Male","15-24",0,7667,240923926,3850,"Generation X","Americas"
"272","Antigua and Barbuda",1985,"Male","25-34",0,6194,240923926,3850,"Boomers","Americas"
"273","Antigua and Barbuda",1985,"Male","35-54",0,5970,240923926,3850,"Silent","Americas"
"274","Antigua and Barbuda",1985,"Male","5-14",0,7304,240923926,3850,"Generation X","Americas"
"275","Antigua and Barbuda",1985,"Male","55-74",0,2723,240923926,3850,"G.I. Generation","Americas"
"276","Antigua and Barbuda",1985,"Male","75+",0,424,240923926,3850,"G.I. Generation","Americas"
"277","Antigua and Barbuda",1986,"Female","15-24",0,7668,290440148,4740,"Generation X","Americas"
"278","Antigua and Barbuda",1986,"Female","25-34",0,6209,290440148,4740,"Boomers","Americas"
"279","Antigua and Barbuda",1986,"Female","35-54",0,6101,290440148,4740,"Silent","Americas"
"280","Antigua and Barbuda",1986,"Female","5-14",0,6907,290440148,4740,"Generation X","Americas"
"281","Antigua and Barbuda",1986,"Female","55-74",0,3764,290440148,4740,"G.I. Generation","Americas"
"282","Antigua and Barbuda",1986,"Female","75+",0,1014,290440148,4740,"G.I. Generation","Americas"
"283","Antigua and Barbuda",1986,"Male","15-24",0,7563,290440148,4740,"Generation X","Americas"
"284","Antigua and Barbuda",1986,"Male","25-34",0,6023,290440148,4740,"Boomers","Americas"
"285","Antigua and Barbuda",1986,"Male","35-54",0,5947,290440148,4740,"Silent","Americas"
"286","Antigua and Barbuda",1986,"Male","5-14",0,6827,290440148,4740,"Generation X","Americas"
"287","Antigua and Barbuda",1986,"Male","55-74",0,2771,290440148,4740,"G.I. Generation","Americas"
"288","Antigua and Barbuda",1986,"Male","75+",0,476,290440148,4740,"G.I. Generation","Americas"
"289","Antigua and Barbuda",1987,"Female","15-24",0,7583,337174852,5595,"Generation X","Americas"
"290","Antigua and Barbuda",1987,"Female","25-34",0,6101,337174852,5595,"Boomers","Americas"
"291","Antigua and Barbuda",1987,"Female","35-54",0,6059,337174852,5595,"Silent","Americas"
"292","Antigua and Barbuda",1987,"Female","5-14",0,6623,337174852,5595,"Generation X","Americas"
"293","Antigua and Barbuda",1987,"Female","55-74",0,3738,337174852,5595,"G.I. Generation","Americas"
"294","Antigua and Barbuda",1987,"Female","75+",0,1081,337174852,5595,"G.I. Generation","Americas"
"295","Antigua and Barbuda",1987,"Male","15-24",0,7421,337174852,5595,"Generation X","Americas"
"296","Antigua and Barbuda",1987,"Male","25-34",0,5893,337174852,5595,"Boomers","Americas"
"297","Antigua and Barbuda",1987,"Male","35-54",0,5927,337174852,5595,"Silent","Americas"
"298","Antigua and Barbuda",1987,"Male","5-14",0,6499,337174852,5595,"Generation X","Americas"
"299","Antigua and Barbuda",1987,"Male","55-74",0,2798,337174852,5595,"G.I. Generation","Americas"
"300","Antigua and Barbuda",1987,"Male","75+",0,538,337174852,5595,"G.I. Generation","Americas"
"301","Antigua and Barbuda",1988,"Female","15-24",0,7413,398637741,6693,"Generation X","Americas"
"302","Antigua and Barbuda",1988,"Female","25-34",0,6041,398637741,6693,"Boomers","Americas"
"303","Antigua and Barbuda",1988,"Female","35-54",0,6021,398637741,6693,"Silent","Americas"
"304","Antigua and Barbuda",1988,"Female","5-14",0,6527,398637741,6693,"Generation X","Americas"
"305","Antigua and Barbuda",1988,"Female","55-74",0,3708,398637741,6693,"G.I. Generation","Americas"
"306","Antigua and Barbuda",1988,"Female","75+",0,1141,398637741,6693,"G.I. Generation","Americas"
"307","Antigua and Barbuda",1988,"Male","15-24",0,7209,398637741,6693,"Generation X","Americas"
"308","Antigua and Barbuda",1988,"Male","25-34",0,5826,398637741,6693,"Boomers","Americas"
"309","Antigua and Barbuda",1988,"Male","35-54",0,5907,398637741,6693,"Silent","Americas"
"310","Antigua and Barbuda",1988,"Male","5-14",0,6355,398637741,6693,"Generation X","Americas"
"311","Antigua and Barbuda",1988,"Male","55-74",0,2813,398637741,6693,"G.I. Generation","Americas"
"312","Antigua and Barbuda",1988,"Male","75+",0,603,398637741,6693,"G.I. Generation","Americas"
"313","Antigua and Barbuda",1989,"Female","15-24",0,7152,438794778,7407,"Generation X","Americas"
"314","Antigua and Barbuda",1989,"Female","25-34",0,6059,438794778,7407,"Boomers","Americas"
"315","Antigua and Barbuda",1989,"Female","35-54",0,5969,438794778,7407,"Silent","Americas"
"316","Antigua and Barbuda",1989,"Female","5-14",0,6621,438794778,7407,"Generation X","Americas"
"317","Antigua and Barbuda",1989,"Female","55-74",0,3696,438794778,7407,"G.I. Generation","Americas"
"318","Antigua and Barbuda",1989,"Female","75+",0,1195,438794778,7407,"G.I. Generation","Americas"
"319","Antigua and Barbuda",1989,"Male","15-24",0,6927,438794778,7407,"Generation X","Americas"
"320","Antigua and Barbuda",1989,"Male","25-34",0,5835,438794778,7407,"Boomers","Americas"
"321","Antigua and Barbuda",1989,"Male","35-54",0,5862,438794778,7407,"Silent","Americas"
"322","Antigua and Barbuda",1989,"Male","5-14",0,6403,438794778,7407,"Generation X","Americas"
"323","Antigua and Barbuda",1989,"Male","55-74",0,2843,438794778,7407,"G.I. Generation","Americas"
"324","Antigua and Barbuda",1989,"Male","75+",0,676,438794778,7407,"G.I. Generation","Americas"
